geoName,separation
Alabama,69
Alaska,83
Arizona,66
Arkansas,65
California,66
Colorado,69
Connecticut,68
Delaware,94
District of Columbia,72
Florida,58
Georgia,73
Hawaii,70
Idaho,71
Illinois,55
Indiana,68
Iowa,63
Kansas,60
Kentucky,66
Louisiana,70
Maine,65
Maryland,94
Massachusetts,63
Michigan,61
Minnesota,61
Mississippi,62
Missouri,67
Montana,69
Nebraska,58
Nevada,55
New Hampshire,60
New Jersey,58
New Mexico,69
New York,61
North Carolina,100
North Dakota,84
Ohio,69
Oklahoma,67
Oregon,40
Pennsylvania,64
Rhode Island,63
South Carolina,78
South Dakota,67
Tennessee,74
Texas,62
Utah,57
Vermont,64
Virginia,66
Washington,69
West Virginia,68
Wisconsin,61
Wyoming,62
