date,separation,isPartial
2015-01-04,68,False
2015-01-11,71,False
2015-01-18,70,False
2015-01-25,75,False
2015-02-01,70,False
2015-02-08,72,False
2015-02-15,70,False
2015-02-22,78,False
2015-03-01,73,False
2015-03-08,73,False
2015-03-15,69,False
2015-03-22,74,False
2015-03-29,69,False
2015-04-05,71,False
2015-04-12,73,False
2015-04-19,72,False
2015-04-26,72,False
2015-05-03,74,False
2015-05-10,63,False
2015-05-17,63,False
2015-05-24,60,False
2015-05-31,63,False
2015-06-07,64,False
2015-06-14,56,False
2015-06-21,71,False
2015-06-28,81,False
2015-07-05,70,False
2015-07-12,63,False
2015-07-19,62,False
2015-07-26,64,False
2015-08-02,63,False
2015-08-09,63,False
2015-08-16,69,False
2015-08-23,75,False
2015-08-30,93,False
2015-09-06,93,False
2015-09-13,100,False
2015-09-20,93,False
2015-09-27,90,False
2015-10-04,89,False
2015-10-11,83,False
2015-10-18,81,False
2015-10-25,85,False
2015-11-01,76,False
2015-11-08,77,False
2015-11-15,80,False
2015-11-22,54,False
2015-11-29,73,False
2015-12-06,79,False
2015-12-13,70,False
2015-12-20,47,False
2015-12-27,46,False
