geoName,separation
Alabama,70
Alaska,61
Arizona,71
Arkansas,69
California,66
Colorado,65
Connecticut,64
Delaware,76
District of Columbia,76
Florida,59
Georgia,75
Hawaii,72
Idaho,62
Illinois,60
Indiana,68
Iowa,61
Kansas,68
Kentucky,67
Louisiana,65
Maine,67
Maryland,88
Massachusetts,72
Michigan,59
Minnesota,61
Mississippi,58
Missouri,60
Montana,68
Nebraska,63
Nevada,60
New Hampshire,65
New Jersey,63
New Mexico,89
New York,66
North Carolina,95
North Dakota,67
Ohio,71
Oklahoma,87
Oregon,60
Pennsylvania,73
Rhode Island,73
South Carolina,77
South Dakota,79
Tennessee,78
Texas,61
Utah,59
Vermont,57
Virginia,100
Washington,71
West Virginia,70
Wisconsin,60
Wyoming,75
