date,separation,isPartial
2016-01-03,77,False
2016-01-10,77,False
2016-01-17,78,False
2016-01-24,86,False
2016-01-31,92,False
2016-02-07,91,False
2016-02-14,93,False
2016-02-21,94,False
2016-02-28,82,False
2016-03-06,97,False
2016-03-13,91,False
2016-03-20,85,False
2016-03-27,88,False
2016-04-03,93,False
2016-04-10,91,False
2016-04-17,88,False
2016-04-24,87,False
2016-05-01,80,False
2016-05-08,83,False
2016-05-15,78,False
2016-05-22,74,False
2016-05-29,68,False
2016-06-05,80,False
2016-06-12,73,False
2016-06-19,68,False
2016-06-26,72,False
2016-07-03,66,False
2016-07-10,63,False
2016-07-17,69,False
2016-07-24,62,False
2016-07-31,63,False
2016-08-07,59,False
2016-08-14,66,False
2016-08-21,75,False
2016-08-28,83,False
2016-09-04,87,False
2016-09-11,100,False
2016-09-18,93,False
2016-09-25,98,False
2016-10-02,92,False
2016-10-09,91,False
2016-10-16,92,False
2016-10-23,83,False
2016-10-30,88,False
2016-11-06,85,False
2016-11-13,91,False
2016-11-20,63,False
2016-11-27,81,False
2016-12-04,82,False
2016-12-11,88,False
2016-12-18,62,False
2016-12-25,53,False
