date,separation,isPartial
2013-01-06,79,False
2013-01-13,81,False
2013-01-20,79,False
2013-01-27,83,False
2013-02-03,81,False
2013-02-10,85,False
2013-02-17,84,False
2013-02-24,88,False
2013-03-03,79,False
2013-03-10,77,False
2013-03-17,78,False
2013-03-24,88,False
2013-03-31,81,False
2013-04-07,79,False
2013-04-14,79,False
2013-04-21,90,False
2013-04-28,83,False
2013-05-05,77,False
2013-05-12,76,False
2013-05-19,76,False
2013-05-26,75,False
2013-06-02,77,False
2013-06-09,76,False
2013-06-16,73,False
2013-06-23,75,False
2013-06-30,63,False
2013-07-07,73,False
2013-07-14,70,False
2013-07-21,69,False
2013-07-28,69,False
2013-08-04,63,False
2013-08-11,67,False
2013-08-18,71,False
2013-08-25,79,False
2013-09-01,81,False
2013-09-08,96,False
2013-09-15,100,False
2013-09-22,95,False
2013-09-29,94,False
2013-10-06,93,False
2013-10-13,88,False
2013-10-20,88,False
2013-10-27,87,False
2013-11-03,88,False
2013-11-10,83,False
2013-11-17,86,False
2013-11-24,58,False
2013-12-01,83,False
2013-12-08,84,False
2013-12-15,75,False
2013-12-22,61,False
2013-12-29,58,False
