date,sad,isPartial
2012-01-01,84,False
2012-01-08,87,False
2012-01-15,90,False
2012-01-22,89,False
2012-01-29,84,False
2012-02-05,89,False
2012-02-12,90,False
2012-02-19,81,False
2012-02-26,81,False
2012-03-04,82,False
2012-03-11,82,False
2012-03-18,82,False
2012-03-25,82,False
2012-04-01,86,False
2012-04-08,83,False
2012-04-15,84,False
2012-04-22,85,False
2012-04-29,82,False
2012-05-06,83,False
2012-05-13,83,False
2012-05-20,81,False
2012-05-27,79,False
2012-06-03,81,False
2012-06-10,81,False
2012-06-17,78,False
2012-06-24,78,False
2012-07-01,76,False
2012-07-08,78,False
2012-07-15,76,False
2012-07-22,76,False
2012-07-29,72,False
2012-08-05,75,False
2012-08-12,77,False
2012-08-19,79,False
2012-08-26,80,False
2012-09-02,85,False
2012-09-09,81,False
2012-09-16,87,False
2012-09-23,86,False
2012-09-30,88,False
2012-10-07,87,False
2012-10-14,86,False
2012-10-21,95,False
2012-10-28,89,False
2012-11-04,100,False
2012-11-11,93,False
2012-11-18,87,False
2012-11-25,91,False
2012-12-02,97,False
2012-12-09,96,False
2012-12-16,89,False
2012-12-23,88,False
2012-12-30,90,False
