date,sad,isPartial
2016-01-03,77,False
2016-01-10,80,False
2016-01-17,79,False
2016-01-24,79,False
2016-01-31,78,False
2016-02-07,81,False
2016-02-14,83,False
2016-02-21,77,False
2016-02-28,78,False
2016-03-06,82,False
2016-03-13,83,False
2016-03-20,93,False
2016-03-27,100,False
2016-04-03,88,False
2016-04-10,86,False
2016-04-17,83,False
2016-04-24,81,False
2016-05-01,81,False
2016-05-08,81,False
2016-05-15,81,False
2016-05-22,78,False
2016-05-29,77,False
2016-06-05,75,False
2016-06-12,76,False
2016-06-19,72,False
2016-06-26,70,False
2016-07-03,68,False
2016-07-10,69,False
2016-07-17,72,False
2016-07-24,69,False
2016-07-31,69,False
2016-08-07,66,False
2016-08-14,69,False
2016-08-21,69,False
2016-08-28,70,False
2016-09-04,75,False
2016-09-11,75,False
2016-09-18,77,False
2016-09-25,75,False
2016-10-02,78,False
2016-10-09,80,False
2016-10-16,78,False
2016-10-23,82,False
2016-10-30,82,False
2016-11-06,85,False
2016-11-13,84,False
2016-11-20,76,False
2016-11-27,80,False
2016-12-04,81,False
2016-12-11,85,False
2016-12-18,76,False
2016-12-25,77,False
