date,sad,isPartial
2015-01-04,89,False
2015-01-11,91,False
2015-01-18,91,False
2015-01-25,92,False
2015-02-01,98,False
2015-02-08,87,False
2015-02-15,92,False
2015-02-22,91,False
2015-03-01,90,False
2015-03-08,91,False
2015-03-15,91,False
2015-03-22,94,False
2015-03-29,95,False
2015-04-05,100,False
2015-04-12,93,False
2015-04-19,97,False
2015-04-26,99,False
2015-05-03,96,False
2015-05-10,94,False
2015-05-17,99,False
2015-05-24,93,False
2015-05-31,91,False
2015-06-07,91,False
2015-06-14,87,False
2015-06-21,88,False
2015-06-28,74,False
2015-07-05,76,False
2015-07-12,71,False
2015-07-19,73,False
2015-07-26,72,False
2015-08-02,76,False
2015-08-09,77,False
2015-08-16,74,False
2015-08-23,77,False
2015-08-30,75,False
2015-09-06,77,False
2015-09-13,75,False
2015-09-20,81,False
2015-09-27,76,False
2015-10-04,83,False
2015-10-11,84,False
2015-10-18,84,False
2015-10-25,88,False
2015-11-01,96,False
2015-11-08,98,False
2015-11-15,97,False
2015-11-22,99,False
2015-11-29,98,False
2015-12-06,97,False
2015-12-13,98,False
2015-12-20,94,False
2015-12-27,85,False
