geoName,sad
Alabama,52
Alaska,61
Arizona,63
Arkansas,64
California,68
Colorado,60
Connecticut,57
Delaware,54
District of Columbia,46
Florida,48
Georgia,49
Hawaii,64
Idaho,66
Illinois,59
Indiana,66
Iowa,60
Kansas,100
Kentucky,62
Louisiana,48
Maine,96
Maryland,53
Massachusetts,58
Michigan,60
Minnesota,60
Mississippi,51
Missouri,60
Montana,58
Nebraska,58
Nevada,61
New Hampshire,60
New Jersey,59
New Mexico,62
New York,55
North Carolina,54
North Dakota,57
Ohio,58
Oklahoma,61
Oregon,63
Pennsylvania,60
Rhode Island,62
South Carolina,51
South Dakota,65
Tennessee,52
Texas,64
Utah,61
Vermont,63
Virginia,57
Washington,58
West Virginia,62
Wisconsin,59
Wyoming,69
