date,sad,isPartial
2011-01-02,89,False
2011-01-09,91,False
2011-01-16,100,False
2011-01-23,97,False
2011-01-30,98,False
2011-02-06,92,False
2011-02-13,87,False
2011-02-20,90,False
2011-02-27,88,False
2011-03-06,92,False
2011-03-13,80,False
2011-03-20,89,False
2011-03-27,95,False
2011-04-03,97,False
2011-04-10,98,False
2011-04-17,90,False
2011-04-24,86,False
2011-05-01,95,False
2011-05-08,95,False
2011-05-15,92,False
2011-05-22,99,False
2011-05-29,92,False
2011-06-05,89,False
2011-06-12,90,False
2011-06-19,84,False
2011-06-26,84,False
2011-07-03,79,False
2011-07-10,80,False
2011-07-17,80,False
2011-07-24,75,False
2011-07-31,81,False
2011-08-07,86,False
2011-08-14,88,False
2011-08-21,81,False
2011-08-28,86,False
2011-09-04,89,False
2011-09-11,92,False
2011-09-18,89,False
2011-09-25,96,False
2011-10-02,97,False
2011-10-09,93,False
2011-10-16,93,False
2011-10-23,95,False
2011-10-30,96,False
2011-11-06,95,False
2011-11-13,99,False
2011-11-20,91,False
2011-11-27,93,False
2011-12-04,96,False
2011-12-11,95,False
2011-12-18,92,False
2011-12-25,88,False
