geoName,sad
Alabama,29
Alaska,33
Arizona,34
Arkansas,28
California,35
Colorado,31
Connecticut,35
Delaware,33
District of Columbia,27
Florida,31
Georgia,27
Hawaii,36
Idaho,30
Illinois,32
Indiana,36
Iowa,33
Kansas,33
Kentucky,36
Louisiana,30
Maine,100
Maryland,30
Massachusetts,34
Michigan,36
Minnesota,32
Mississippi,30
Missouri,32
Montana,30
Nebraska,37
Nevada,35
New Hampshire,42
New Jersey,35
New Mexico,41
New York,35
North Carolina,29
North Dakota,38
Ohio,34
Oklahoma,34
Oregon,33
Pennsylvania,34
Rhode Island,36
South Carolina,30
South Dakota,32
Tennessee,29
Texas,35
Utah,32
Vermont,37
Virginia,34
Washington,35
West Virginia,39
Wisconsin,32
Wyoming,43
