geoName,peers
Alabama,57
Alaska,77
Arizona,46
Arkansas,59
California,68
Colorado,55
Connecticut,56
Delaware,38
District of Columbia,41
Florida,47
Georgia,49
Hawaii,63
Idaho,40
Illinois,50
Indiana,58
Iowa,47
Kansas,65
Kentucky,63
Louisiana,80
Maine,69
Maryland,63
Massachusetts,58
Michigan,51
Minnesota,49
Mississippi,68
Missouri,100
Montana,32
Nebraska,42
Nevada,49
New Hampshire,39
New Jersey,55
New Mexico,62
New York,60
North Carolina,61
North Dakota,41
Ohio,56
Oklahoma,57
Oregon,58
Pennsylvania,57
Rhode Island,62
South Carolina,59
South Dakota,56
Tennessee,54
Texas,52
Utah,78
Vermont,92
Virginia,66
Washington,57
West Virginia,47
Wisconsin,62
Wyoming,52
