geoName,peers
Alabama,59
Alaska,30
Arizona,53
Arkansas,49
California,64
Colorado,57
Connecticut,59
Delaware,61
District of Columbia,49
Florida,43
Georgia,48
Hawaii,47
Idaho,70
Illinois,48
Indiana,66
Iowa,75
Kansas,47
Kentucky,48
Louisiana,43
Maine,47
Maryland,51
Massachusetts,59
Michigan,56
Minnesota,58
Mississippi,72
Missouri,95
Montana,54
Nebraska,48
Nevada,60
New Hampshire,50
New Jersey,51
New Mexico,79
New York,48
North Carolina,58
North Dakota,55
Ohio,51
Oklahoma,46
Oregon,43
Pennsylvania,61
Rhode Island,58
South Carolina,58
South Dakota,100
Tennessee,51
Texas,45
Utah,75
Vermont,91
Virginia,62
Washington,48
West Virginia,77
Wisconsin,52
Wyoming,91
