geoName,peers
Alabama,53
Alaska,51
Arizona,51
Arkansas,74
California,64
Colorado,54
Connecticut,65
Delaware,68
District of Columbia,56
Florida,52
Georgia,46
Hawaii,75
Idaho,58
Illinois,49
Indiana,67
Iowa,72
Kansas,55
Kentucky,40
Louisiana,49
Maine,55
Maryland,62
Massachusetts,57
Michigan,50
Minnesota,54
Mississippi,69
Missouri,100
Montana,42
Nebraska,59
Nevada,64
New Hampshire,70
New Jersey,56
New Mexico,48
New York,57
North Carolina,58
North Dakota,30
Ohio,55
Oklahoma,42
Oregon,35
Pennsylvania,60
Rhode Island,68
South Carolina,62
South Dakota,62
Tennessee,54
Texas,57
Utah,69
Vermont,54
Virginia,44
Washington,58
West Virginia,44
Wisconsin,51
Wyoming,95
