geoName,peers
Alabama,45
Alaska,50
Arizona,40
Arkansas,61
California,56
Colorado,43
Connecticut,53
Delaware,55
District of Columbia,37
Florida,47
Georgia,39
Hawaii,56
Idaho,38
Illinois,50
Indiana,43
Iowa,52
Kansas,47
Kentucky,31
Louisiana,47
Maine,58
Maryland,48
Massachusetts,52
Michigan,49
Minnesota,51
Mississippi,56
Missouri,100
Montana,39
Nebraska,49
Nevada,45
New Hampshire,47
New Jersey,50
New Mexico,59
New York,48
North Carolina,45
North Dakota,51
Ohio,45
Oklahoma,41
Oregon,45
Pennsylvania,46
Rhode Island,47
South Carolina,49
South Dakota,43
Tennessee,38
Texas,43
Utah,53
Vermont,52
Virginia,49
Washington,48
West Virginia,55
Wisconsin,43
Wyoming,22
