geoName,peers
Alabama,49
Alaska,47
Arizona,42
Arkansas,57
California,56
Colorado,44
Connecticut,68
Delaware,61
District of Columbia,45
Florida,51
Georgia,41
Hawaii,63
Idaho,49
Illinois,41
Indiana,53
Iowa,61
Kansas,48
Kentucky,42
Louisiana,51
Maine,38
Maryland,50
Massachusetts,42
Michigan,45
Minnesota,41
Mississippi,59
Missouri,100
Montana,62
Nebraska,62
Nevada,52
New Hampshire,40
New Jersey,48
New Mexico,39
New York,50
North Carolina,53
North Dakota,61
Ohio,49
Oklahoma,31
Oregon,31
Pennsylvania,50
Rhode Island,43
South Carolina,51
South Dakota,43
Tennessee,52
Texas,43
Utah,59
Vermont,55
Virginia,39
Washington,56
West Virginia,47
Wisconsin,45
Wyoming,80
