date,peers,isPartial
2014-01-05,61,False
2014-01-12,71,False
2014-01-19,68,False
2014-01-26,77,False
2014-02-02,77,False
2014-02-09,70,False
2014-02-16,73,False
2014-02-23,91,False
2014-03-02,81,False
2014-03-09,93,False
2014-03-16,75,False
2014-03-23,73,False
2014-03-30,75,False
2014-04-06,79,False
2014-04-13,72,False
2014-04-20,85,False
2014-04-27,83,False
2014-05-04,83,False
2014-05-11,63,False
2014-05-18,66,False
2014-05-25,60,False
2014-06-01,63,False
2014-06-08,60,False
2014-06-15,61,False
2014-06-22,66,False
2014-06-29,51,False
2014-07-06,56,False
2014-07-13,58,False
2014-07-20,61,False
2014-07-27,60,False
2014-08-03,54,False
2014-08-10,55,False
2014-08-17,63,False
2014-08-24,61,False
2014-08-31,65,False
2014-09-07,71,False
2014-09-14,85,False
2014-09-21,87,False
2014-09-28,100,False
2014-10-05,69,False
2014-10-12,79,False
2014-10-19,78,False
2014-10-26,78,False
2014-11-02,87,False
2014-11-09,88,False
2014-11-16,69,False
2014-11-23,76,False
2014-11-30,86,False
2014-12-07,69,False
2014-12-14,73,False
2014-12-21,40,False
2014-12-28,49,False
