geoName,afraid
Alabama,85
Alaska,79
Arizona,77
Arkansas,90
California,66
Colorado,74
Connecticut,73
Delaware,71
District of Columbia,67
Florida,74
Georgia,73
Hawaii,81
Idaho,82
Illinois,69
Indiana,75
Iowa,80
Kansas,66
Kentucky,88
Louisiana,83
Maine,72
Maryland,70
Massachusetts,76
Michigan,79
Minnesota,72
Mississippi,74
Missouri,75
Montana,83
Nebraska,90
Nevada,81
New Hampshire,100
New Jersey,73
New Mexico,83
New York,69
North Carolina,73
North Dakota,76
Ohio,79
Oklahoma,81
Oregon,55
Pennsylvania,82
Rhode Island,90
South Carolina,72
South Dakota,80
Tennessee,79
Texas,71
Utah,78
Vermont,66
Virginia,55
Washington,67
West Virginia,99
Wisconsin,76
Wyoming,83
