geoName,afraid
Alabama,72
Alaska,84
Arizona,75
Arkansas,82
California,73
Colorado,76
Connecticut,90
Delaware,91
District of Columbia,70
Florida,72
Georgia,74
Hawaii,67
Idaho,90
Illinois,75
Indiana,78
Iowa,74
Kansas,81
Kentucky,84
Louisiana,81
Maine,90
Maryland,78
Massachusetts,86
Michigan,91
Minnesota,74
Mississippi,82
Missouri,76
Montana,82
Nebraska,91
Nevada,80
New Hampshire,78
New Jersey,92
New Mexico,85
New York,81
North Carolina,75
North Dakota,97
Ohio,88
Oklahoma,79
Oregon,70
Pennsylvania,92
Rhode Island,100
South Carolina,83
South Dakota,76
Tennessee,81
Texas,75
Utah,72
Vermont,76
Virginia,84
Washington,71
West Virginia,93
Wisconsin,81
Wyoming,92
