geoName,afraid
Alabama,94
Alaska,90
Arizona,82
Arkansas,84
California,70
Colorado,78
Connecticut,79
Delaware,85
District of Columbia,69
Florida,73
Georgia,75
Hawaii,79
Idaho,82
Illinois,74
Indiana,87
Iowa,82
Kansas,74
Kentucky,88
Louisiana,84
Maine,90
Maryland,81
Massachusetts,80
Michigan,80
Minnesota,76
Mississippi,78
Missouri,78
Montana,89
Nebraska,79
Nevada,76
New Hampshire,92
New Jersey,80
New Mexico,84
New York,72
North Carolina,79
North Dakota,62
Ohio,85
Oklahoma,84
Oregon,70
Pennsylvania,85
Rhode Island,85
South Carolina,78
South Dakota,76
Tennessee,82
Texas,75
Utah,92
Vermont,95
Virginia,80
Washington,75
West Virginia,100
Wisconsin,80
Wyoming,80
