date,afraid,isPartial
2012-01-01,100,False
2012-01-08,91,False
2012-01-15,66,False
2012-01-22,63,False
2012-01-29,59,False
2012-02-05,63,False
2012-02-12,62,False
2012-02-19,63,False
2012-02-26,58,False
2012-03-04,55,False
2012-03-11,55,False
2012-03-18,58,False
2012-03-25,59,False
2012-04-01,55,False
2012-04-08,58,False
2012-04-15,55,False
2012-04-22,60,False
2012-04-29,56,False
2012-05-06,57,False
2012-05-13,60,False
2012-05-20,60,False
2012-05-27,60,False
2012-06-03,60,False
2012-06-10,56,False
2012-06-17,55,False
2012-06-24,56,False
2012-07-01,61,False
2012-07-08,61,False
2012-07-15,58,False
2012-07-22,61,False
2012-07-29,51,False
2012-08-05,54,False
2012-08-12,53,False
2012-08-19,50,False
2012-08-26,57,False
2012-09-02,52,False
2012-09-09,54,False
2012-09-16,54,False
2012-09-23,54,False
2012-09-30,53,False
2012-10-07,52,False
2012-10-14,61,False
2012-10-21,57,False
2012-10-28,58,False
2012-11-04,52,False
2012-11-11,55,False
2012-11-18,53,False
2012-11-25,53,False
2012-12-02,56,False
2012-12-09,56,False
2012-12-16,56,False
2012-12-23,53,False
2012-12-30,52,False
