date,afraid,isPartial
2013-01-06,24,False
2013-01-13,25,False
2013-01-20,27,False
2013-01-27,25,False
2013-02-03,27,False
2013-02-10,27,False
2013-02-17,26,False
2013-02-24,25,False
2013-03-03,25,False
2013-03-10,24,False
2013-03-17,27,False
2013-03-24,27,False
2013-03-31,27,False
2013-04-07,29,False
2013-04-14,26,False
2013-04-21,26,False
2013-04-28,29,False
2013-05-05,26,False
2013-05-12,29,False
2013-05-19,28,False
2013-05-26,28,False
2013-06-02,37,False
2013-06-09,37,False
2013-06-16,37,False
2013-06-23,72,False
2013-06-30,70,False
2013-07-07,65,False
2013-07-14,84,False
2013-07-21,100,False
2013-07-28,96,False
2013-08-04,63,False
2013-08-11,45,False
2013-08-18,37,False
2013-08-25,31,False
2013-09-01,35,False
2013-09-08,35,False
2013-09-15,31,False
2013-09-22,40,False
2013-09-29,35,False
2013-10-06,32,False
2013-10-13,33,False
2013-10-20,34,False
2013-10-27,34,False
2013-11-03,33,False
2013-11-10,33,False
2013-11-17,33,False
2013-11-24,38,False
2013-12-01,45,False
2013-12-08,68,False
2013-12-15,47,False
2013-12-22,32,False
2013-12-29,34,False
