date,afraid,isPartial
2016-01-03,53,False
2016-01-10,53,False
2016-01-17,56,False
2016-01-24,57,False
2016-01-31,56,False
2016-02-07,52,False
2016-02-14,52,False
2016-02-21,53,False
2016-02-28,63,False
2016-03-06,74,False
2016-03-13,100,False
2016-03-20,80,False
2016-03-27,76,False
2016-04-03,92,False
2016-04-10,88,False
2016-04-17,87,False
2016-04-24,77,False
2016-05-01,72,False
2016-05-08,74,False
2016-05-15,80,False
2016-05-22,75,False
2016-05-29,87,False
2016-06-05,75,False
2016-06-12,67,False
2016-06-19,59,False
2016-06-26,57,False
2016-07-03,72,False
2016-07-10,77,False
2016-07-17,79,False
2016-07-24,74,False
2016-07-31,70,False
2016-08-07,58,False
2016-08-14,66,False
2016-08-21,71,False
2016-08-28,72,False
2016-09-04,53,False
2016-09-11,54,False
2016-09-18,52,False
2016-09-25,49,False
2016-10-02,54,False
2016-10-09,57,False
2016-10-16,57,False
2016-10-23,63,False
2016-10-30,56,False
2016-11-06,52,False
2016-11-13,51,False
2016-11-20,42,False
2016-11-27,47,False
2016-12-04,44,False
2016-12-11,46,False
2016-12-18,42,False
2016-12-25,40,False
