geoName,afraid
Alabama,86
Alaska,85
Arizona,75
Arkansas,85
California,68
Colorado,74
Connecticut,75
Delaware,72
District of Columbia,57
Florida,73
Georgia,73
Hawaii,77
Idaho,76
Illinois,72
Indiana,82
Iowa,74
Kansas,70
Kentucky,79
Louisiana,80
Maine,83
Maryland,74
Massachusetts,71
Michigan,74
Minnesota,65
Mississippi,72
Missouri,76
Montana,76
Nebraska,72
Nevada,74
New Hampshire,77
New Jersey,73
New Mexico,70
New York,68
North Carolina,75
North Dakota,67
Ohio,83
Oklahoma,80
Oregon,43
Pennsylvania,78
Rhode Island,84
South Carolina,81
South Dakota,81
Tennessee,76
Texas,73
Utah,81
Vermont,77
Virginia,57
Washington,75
West Virginia,100
Wisconsin,73
Wyoming,86
