geoName,afraid
Alabama,70
Alaska,60
Arizona,57
Arkansas,73
California,63
Colorado,63
Connecticut,67
Delaware,69
District of Columbia,49
Florida,66
Georgia,59
Hawaii,68
Idaho,61
Illinois,62
Indiana,68
Iowa,66
Kansas,72
Kentucky,71
Louisiana,75
Maine,77
Maryland,64
Massachusetts,68
Michigan,70
Minnesota,65
Mississippi,78
Missouri,66
Montana,80
Nebraska,66
Nevada,62
New Hampshire,79
New Jersey,74
New Mexico,57
New York,63
North Carolina,64
North Dakota,56
Ohio,77
Oklahoma,72
Oregon,46
Pennsylvania,77
Rhode Island,70
South Carolina,69
South Dakota,58
Tennessee,73
Texas,59
Utah,71
Vermont,66
Virginia,68
Washington,61
West Virginia,100
Wisconsin,67
Wyoming,60
