geoName,suicidal
Alabama,61
Alaska,57
Arizona,86
Arkansas,62
California,72
Colorado,76
Connecticut,74
Delaware,90
District of Columbia,56
Florida,66
Georgia,58
Hawaii,67
Idaho,74
Illinois,65
Indiana,71
Iowa,70
Kansas,60
Kentucky,77
Louisiana,84
Maine,71
Maryland,71
Massachusetts,72
Michigan,74
Minnesota,60
Mississippi,46
Missouri,65
Montana,62
Nebraska,59
Nevada,90
New Hampshire,85
New Jersey,80
New Mexico,75
New York,74
North Carolina,64
North Dakota,100
Ohio,73
Oklahoma,73
Oregon,69
Pennsylvania,85
Rhode Island,94
South Carolina,54
South Dakota,90
Tennessee,74
Texas,69
Utah,82
Vermont,75
Virginia,75
Washington,74
West Virginia,82
Wisconsin,80
Wyoming,54
