geoName,suicidal
Alabama,57
Alaska,68
Arizona,81
Arkansas,75
California,75
Colorado,71
Connecticut,68
Delaware,75
District of Columbia,58
Florida,58
Georgia,62
Hawaii,60
Idaho,82
Illinois,67
Indiana,73
Iowa,73
Kansas,62
Kentucky,74
Louisiana,60
Maine,62
Maryland,64
Massachusetts,60
Michigan,76
Minnesota,68
Mississippi,65
Missouri,78
Montana,81
Nebraska,77
Nevada,92
New Hampshire,83
New Jersey,70
New Mexico,100
New York,63
North Carolina,63
North Dakota,73
Ohio,67
Oklahoma,77
Oregon,63
Pennsylvania,70
Rhode Island,79
South Carolina,69
South Dakota,79
Tennessee,72
Texas,65
Utah,86
Vermont,52
Virginia,45
Washington,76
West Virginia,67
Wisconsin,74
Wyoming,56
