geoName,suicidal
Alabama,58
Alaska,88
Arizona,76
Arkansas,74
California,76
Colorado,84
Connecticut,69
Delaware,58
District of Columbia,61
Florida,57
Georgia,63
Hawaii,62
Idaho,79
Illinois,67
Indiana,79
Iowa,86
Kansas,75
Kentucky,76
Louisiana,69
Maine,72
Maryland,71
Massachusetts,67
Michigan,76
Minnesota,67
Mississippi,66
Missouri,72
Montana,74
Nebraska,74
Nevada,77
New Hampshire,86
New Jersey,68
New Mexico,86
New York,61
North Carolina,60
North Dakota,76
Ohio,79
Oklahoma,65
Oregon,84
Pennsylvania,71
Rhode Island,79
South Carolina,67
South Dakota,82
Tennessee,65
Texas,66
Utah,89
Vermont,68
Virginia,68
Washington,79
West Virginia,100
Wisconsin,75
Wyoming,77
