geoName,suicidal
Alabama,50
Alaska,63
Arizona,62
Arkansas,53
California,63
Colorado,65
Connecticut,57
Delaware,71
District of Columbia,41
Florida,48
Georgia,56
Hawaii,59
Idaho,56
Illinois,50
Indiana,65
Iowa,51
Kansas,51
Kentucky,62
Louisiana,52
Maine,55
Maryland,51
Massachusetts,54
Michigan,60
Minnesota,48
Mississippi,43
Missouri,54
Montana,73
Nebraska,53
Nevada,69
New Hampshire,61
New Jersey,53
New Mexico,78
New York,53
North Carolina,54
North Dakota,52
Ohio,58
Oklahoma,52
Oregon,38
Pennsylvania,60
Rhode Island,46
South Carolina,54
South Dakota,72
Tennessee,58
Texas,55
Utah,75
Vermont,74
Virginia,40
Washington,55
West Virginia,64
Wisconsin,50
Wyoming,100
