geoName,suicidal
Alabama,54
Alaska,47
Arizona,70
Arkansas,52
California,69
Colorado,66
Connecticut,63
Delaware,66
District of Columbia,44
Florida,52
Georgia,47
Hawaii,59
Idaho,48
Illinois,61
Indiana,61
Iowa,58
Kansas,57
Kentucky,77
Louisiana,53
Maine,46
Maryland,51
Massachusetts,60
Michigan,63
Minnesota,57
Mississippi,56
Missouri,59
Montana,68
Nebraska,57
Nevada,72
New Hampshire,60
New Jersey,54
New Mexico,83
New York,58
North Carolina,53
North Dakota,79
Ohio,62
Oklahoma,58
Oregon,43
Pennsylvania,59
Rhode Island,70
South Carolina,58
South Dakota,72
Tennessee,56
Texas,58
Utah,77
Vermont,67
Virginia,55
Washington,61
West Virginia,73
Wisconsin,64
Wyoming,100
