date,melancholia,isPartial
2011-01-02,1,False
2011-01-09,2,False
2011-01-16,1,False
2011-01-23,2,False
2011-01-30,3,False
2011-02-06,2,False
2011-02-13,1,False
2011-02-20,2,False
2011-02-27,2,False
2011-03-06,3,False
2011-03-13,2,False
2011-03-20,2,False
2011-03-27,2,False
2011-04-03,10,False
2011-04-10,15,False
2011-04-17,13,False
2011-04-24,14,False
2011-05-01,4,False
2011-05-08,7,False
2011-05-15,38,False
2011-05-22,25,False
2011-05-29,7,False
2011-06-05,5,False
2011-06-12,5,False
2011-06-19,6,False
2011-06-26,5,False
2011-07-03,5,False
2011-07-10,5,False
2011-07-17,6,False
2011-07-24,5,False
2011-07-31,8,False
2011-08-07,8,False
2011-08-14,7,False
2011-08-21,9,False
2011-08-28,13,False
2011-09-04,27,False
2011-09-11,11,False
2011-09-18,15,False
2011-09-25,37,False
2011-10-02,31,False
2011-10-09,38,False
2011-10-16,28,False
2011-10-23,30,False
2011-10-30,33,False
2011-11-06,100,False
2011-11-13,83,False
2011-11-20,74,False
2011-11-27,54,False
2011-12-04,58,False
2011-12-11,45,False
2011-12-18,46,False
2011-12-25,57,False
