date,melancholia,isPartial
2015-01-04,59,False
2015-01-11,67,False
2015-01-18,55,False
2015-01-25,50,False
2015-02-01,48,False
2015-02-08,45,False
2015-02-15,46,False
2015-02-22,67,False
2015-03-01,63,False
2015-03-08,49,False
2015-03-15,100,False
2015-03-22,35,False
2015-03-29,46,False
2015-04-05,74,False
2015-04-12,50,False
2015-04-19,55,False
2015-04-26,70,False
2015-05-03,54,False
2015-05-10,47,False
2015-05-17,84,False
2015-05-24,46,False
2015-05-31,40,False
2015-06-07,49,False
2015-06-14,47,False
2015-06-21,47,False
2015-06-28,57,False
2015-07-05,51,False
2015-07-12,43,False
2015-07-19,57,False
2015-07-26,52,False
2015-08-02,42,False
2015-08-09,75,False
2015-08-16,52,False
2015-08-23,39,False
2015-08-30,56,False
2015-09-06,61,False
2015-09-13,51,False
2015-09-20,54,False
2015-09-27,74,False
2015-10-04,62,False
2015-10-11,65,False
2015-10-18,45,False
2015-10-25,64,False
2015-11-01,65,False
2015-11-08,58,False
2015-11-15,72,False
2015-11-22,57,False
2015-11-29,63,False
2015-12-06,59,False
2015-12-13,60,False
2015-12-20,30,False
2015-12-27,72,False
