geoName,melancholia
Alabama,44
Alaska,32
Arizona,43
Arkansas,34
California,71
Colorado,61
Connecticut,55
Delaware,47
District of Columbia,77
Florida,40
Georgia,45
Hawaii,32
Idaho,36
Illinois,64
Indiana,47
Iowa,36
Kansas,41
Kentucky,62
Louisiana,55
Maine,66
Maryland,60
Massachusetts,73
Michigan,45
Minnesota,45
Mississippi,23
Missouri,38
Montana,43
Nebraska,40
Nevada,53
New Hampshire,42
New Jersey,57
New Mexico,62
New York,86
North Carolina,48
North Dakota,33
Ohio,46
Oklahoma,54
Oregon,88
Pennsylvania,61
Rhode Island,45
South Carolina,37
South Dakota,46
Tennessee,60
Texas,51
Utah,44
Vermont,100
Virginia,56
Washington,58
West Virginia,43
Wisconsin,53
Wyoming,0
