date,melancholia,isPartial
2014-01-05,41,False
2014-01-12,69,False
2014-01-19,68,False
2014-01-26,64,False
2014-02-02,58,False
2014-02-09,68,False
2014-02-16,76,False
2014-02-23,56,False
2014-03-02,85,False
2014-03-09,71,False
2014-03-16,70,False
2014-03-23,67,False
2014-03-30,78,False
2014-04-06,94,False
2014-04-13,77,False
2014-04-20,73,False
2014-04-27,100,False
2014-05-04,94,False
2014-05-11,91,False
2014-05-18,69,False
2014-05-25,70,False
2014-06-01,67,False
2014-06-08,78,False
2014-06-15,51,False
2014-06-22,48,False
2014-06-29,53,False
2014-07-06,67,False
2014-07-13,57,False
2014-07-20,44,False
2014-07-27,58,False
2014-08-03,65,False
2014-08-10,86,False
2014-08-17,70,False
2014-08-24,44,False
2014-08-31,70,False
2014-09-07,45,False
2014-09-14,41,False
2014-09-21,43,False
2014-09-28,47,False
2014-10-05,46,False
2014-10-12,47,False
2014-10-19,40,False
2014-10-26,69,False
2014-11-02,38,False
2014-11-09,48,False
2014-11-16,39,False
2014-11-23,42,False
2014-11-30,49,False
2014-12-07,39,False
2014-12-14,56,False
2014-12-21,56,False
2014-12-28,60,False
