date,melancholia,isPartial
2016-01-03,53,False
2016-01-10,76,False
2016-01-17,92,False
2016-01-24,67,False
2016-01-31,68,False
2016-02-07,78,False
2016-02-14,67,False
2016-02-21,73,False
2016-02-28,77,False
2016-03-06,62,False
2016-03-13,46,False
2016-03-20,63,False
2016-03-27,60,False
2016-04-03,91,False
2016-04-10,80,False
2016-04-17,71,False
2016-04-24,77,False
2016-05-01,60,False
2016-05-08,70,False
2016-05-15,64,False
2016-05-22,75,False
2016-05-29,55,False
2016-06-05,46,False
2016-06-12,55,False
2016-06-19,53,False
2016-06-26,54,False
2016-07-03,75,False
2016-07-10,62,False
2016-07-17,39,False
2016-07-24,53,False
2016-07-31,44,False
2016-08-07,50,False
2016-08-14,53,False
2016-08-21,61,False
2016-08-28,97,False
2016-09-04,91,False
2016-09-11,74,False
2016-09-18,79,False
2016-09-25,68,False
2016-10-02,56,False
2016-10-09,60,False
2016-10-16,47,False
2016-10-23,76,False
2016-10-30,100,False
2016-11-06,80,False
2016-11-13,83,False
2016-11-20,90,False
2016-11-27,94,False
2016-12-04,69,False
2016-12-11,59,False
2016-12-18,56,False
2016-12-25,57,False
