date,melancholia,isPartial
2012-01-01,85,False
2012-01-08,100,False
2012-01-15,58,False
2012-01-22,48,False
2012-01-29,34,False
2012-02-05,29,False
2012-02-12,26,False
2012-02-19,26,False
2012-02-26,23,False
2012-03-04,24,False
2012-03-11,57,False
2012-03-18,49,False
2012-03-25,48,False
2012-04-01,35,False
2012-04-08,42,False
2012-04-15,68,False
2012-04-22,68,False
2012-04-29,54,False
2012-05-06,52,False
2012-05-13,34,False
2012-05-20,42,False
2012-05-27,46,False
2012-06-03,39,False
2012-06-10,36,False
2012-06-17,31,False
2012-06-24,30,False
2012-07-01,32,False
2012-07-08,29,False
2012-07-15,30,False
2012-07-22,20,False
2012-07-29,17,False
2012-08-05,22,False
2012-08-12,25,False
2012-08-19,25,False
2012-08-26,19,False
2012-09-02,21,False
2012-09-09,23,False
2012-09-16,36,False
2012-09-23,53,False
2012-09-30,30,False
2012-10-07,27,False
2012-10-14,26,False
2012-10-21,25,False
2012-10-28,22,False
2012-11-04,15,False
2012-11-11,18,False
2012-11-18,24,False
2012-11-25,21,False
2012-12-02,25,False
2012-12-09,18,False
2012-12-16,24,False
2012-12-23,25,False
2012-12-30,23,False
