geoName,melancholia
Alabama,39
Alaska,53
Arizona,41
Arkansas,56
California,61
Colorado,59
Connecticut,48
Delaware,41
District of Columbia,80
Florida,46
Georgia,49
Hawaii,30
Idaho,75
Illinois,51
Indiana,52
Iowa,68
Kansas,42
Kentucky,41
Louisiana,29
Maine,75
Maryland,59
Massachusetts,64
Michigan,43
Minnesota,56
Mississippi,44
Missouri,45
Montana,62
Nebraska,50
Nevada,64
New Hampshire,33
New Jersey,72
New Mexico,100
New York,77
North Carolina,48
North Dakota,89
Ohio,48
Oklahoma,44
Oregon,39
Pennsylvania,58
Rhode Island,56
South Carolina,25
South Dakota,13
Tennessee,54
Texas,50
Utah,35
Vermont,83
Virginia,60
Washington,64
West Virginia,42
Wisconsin,57
Wyoming,0
