geoName,melancholia
Alabama,33
Alaska,51
Arizona,42
Arkansas,35
California,52
Colorado,43
Connecticut,48
Delaware,58
District of Columbia,45
Florida,29
Georgia,25
Hawaii,49
Idaho,34
Illinois,52
Indiana,45
Iowa,30
Kansas,28
Kentucky,21
Louisiana,39
Maine,14
Maryland,53
Massachusetts,59
Michigan,27
Minnesota,43
Mississippi,32
Missouri,47
Montana,81
Nebraska,28
Nevada,41
New Hampshire,64
New Jersey,46
New Mexico,38
New York,57
North Carolina,38
North Dakota,68
Ohio,44
Oklahoma,30
Oregon,42
Pennsylvania,42
Rhode Island,100
South Carolina,35
South Dakota,28
Tennessee,39
Texas,38
Utah,64
Vermont,67
Virginia,34
Washington,48
West Virginia,37
Wisconsin,37
Wyoming,0
