geoName,antisocial
Alabama,90
Alaska,62
Arizona,63
Arkansas,70
California,61
Colorado,55
Connecticut,69
Delaware,74
District of Columbia,55
Florida,72
Georgia,62
Hawaii,50
Idaho,70
Illinois,74
Indiana,88
Iowa,68
Kansas,63
Kentucky,71
Louisiana,75
Maine,100
Maryland,75
Massachusetts,63
Michigan,61
Minnesota,81
Mississippi,82
Missouri,64
Montana,73
Nebraska,69
Nevada,55
New Hampshire,65
New Jersey,63
New Mexico,85
New York,64
North Carolina,66
North Dakota,88
Ohio,64
Oklahoma,70
Oregon,58
Pennsylvania,65
Rhode Island,59
South Carolina,72
South Dakota,87
Tennessee,82
Texas,56
Utah,70
Vermont,60
Virginia,49
Washington,62
West Virginia,49
Wisconsin,62
Wyoming,68
