geoName,antisocial
Alabama,63
Alaska,71
Arizona,73
Arkansas,62
California,72
Colorado,63
Connecticut,62
Delaware,40
District of Columbia,54
Florida,61
Georgia,64
Hawaii,69
Idaho,57
Illinois,63
Indiana,73
Iowa,64
Kansas,55
Kentucky,56
Louisiana,65
Maine,100
Maryland,59
Massachusetts,61
Michigan,70
Minnesota,47
Mississippi,69
Missouri,63
Montana,83
Nebraska,48
Nevada,58
New Hampshire,70
New Jersey,62
New Mexico,63
New York,71
North Carolina,59
North Dakota,58
Ohio,62
Oklahoma,69
Oregon,64
Pennsylvania,66
Rhode Island,77
South Carolina,59
South Dakota,39
Tennessee,60
Texas,59
Utah,60
Vermont,74
Virginia,69
Washington,60
West Virginia,63
Wisconsin,58
Wyoming,80
