geoName,antisocial
Alabama,65
Alaska,65
Arizona,47
Arkansas,84
California,55
Colorado,74
Connecticut,59
Delaware,75
District of Columbia,51
Florida,61
Georgia,57
Hawaii,57
Idaho,89
Illinois,59
Indiana,72
Iowa,67
Kansas,79
Kentucky,70
Louisiana,74
Maine,61
Maryland,69
Massachusetts,58
Michigan,75
Minnesota,57
Mississippi,53
Missouri,64
Montana,64
Nebraska,77
Nevada,61
New Hampshire,71
New Jersey,69
New Mexico,95
New York,61
North Carolina,65
North Dakota,100
Ohio,62
Oklahoma,42
Oregon,61
Pennsylvania,64
Rhode Island,65
South Carolina,56
South Dakota,72
Tennessee,59
Texas,49
Utah,66
Vermont,36
Virginia,63
Washington,55
West Virginia,91
Wisconsin,70
Wyoming,12
