geoName,antisocial
Alabama,63
Alaska,36
Arizona,67
Arkansas,72
California,57
Colorado,59
Connecticut,66
Delaware,65
District of Columbia,38
Florida,68
Georgia,60
Hawaii,53
Idaho,79
Illinois,62
Indiana,71
Iowa,56
Kansas,59
Kentucky,65
Louisiana,60
Maine,85
Maryland,60
Massachusetts,62
Michigan,63
Minnesota,68
Mississippi,67
Missouri,77
Montana,44
Nebraska,85
Nevada,65
New Hampshire,67
New Jersey,57
New Mexico,81
New York,63
North Carolina,81
North Dakota,72
Ohio,61
Oklahoma,55
Oregon,37
Pennsylvania,64
Rhode Island,59
South Carolina,67
South Dakota,100
Tennessee,61
Texas,54
Utah,56
Vermont,89
Virginia,45
Washington,59
West Virginia,78
Wisconsin,65
Wyoming,20
