geoName,drinking
Alabama,68
Alaska,73
Arizona,69
Arkansas,68
California,66
Colorado,74
Connecticut,80
Delaware,78
District of Columbia,81
Florida,71
Georgia,71
Hawaii,69
Idaho,69
Illinois,81
Indiana,84
Iowa,85
Kansas,80
Kentucky,84
Louisiana,70
Maine,88
Maryland,72
Massachusetts,84
Michigan,81
Minnesota,82
Mississippi,71
Missouri,73
Montana,88
Nebraska,81
Nevada,67
New Hampshire,82
New Jersey,74
New Mexico,70
New York,83
North Carolina,71
North Dakota,100
Ohio,80
Oklahoma,69
Oregon,73
Pennsylvania,90
Rhode Island,90
South Carolina,74
South Dakota,89
Tennessee,67
Texas,71
Utah,57
Vermont,93
Virginia,75
Washington,74
West Virginia,86
Wisconsin,89
Wyoming,57
