geoName,drinking
Alabama,66
Alaska,81
Arizona,69
Arkansas,71
California,68
Colorado,72
Connecticut,70
Delaware,88
District of Columbia,78
Florida,68
Georgia,68
Hawaii,70
Idaho,60
Illinois,78
Indiana,79
Iowa,83
Kansas,75
Kentucky,71
Louisiana,71
Maine,75
Maryland,71
Massachusetts,81
Michigan,77
Minnesota,81
Mississippi,69
Missouri,77
Montana,76
Nebraska,85
Nevada,62
New Hampshire,85
New Jersey,72
New Mexico,65
New York,70
North Carolina,69
North Dakota,91
Ohio,78
Oklahoma,68
Oregon,67
Pennsylvania,85
Rhode Island,86
South Carolina,73
South Dakota,89
Tennessee,68
Texas,69
Utah,53
Vermont,100
Virginia,68
Washington,73
West Virginia,73
Wisconsin,82
Wyoming,79
