date,drinking,isPartial
2013-01-06,81,False
2013-01-13,79,False
2013-01-20,82,False
2013-01-27,77,False
2013-02-03,82,False
2013-02-10,81,False
2013-02-17,86,False
2013-02-24,82,False
2013-03-03,83,False
2013-03-10,86,False
2013-03-17,90,False
2013-03-24,84,False
2013-03-31,79,False
2013-04-07,84,False
2013-04-14,78,False
2013-04-21,81,False
2013-04-28,82,False
2013-05-05,80,False
2013-05-12,80,False
2013-05-19,81,False
2013-05-26,83,False
2013-06-02,76,False
2013-06-09,80,False
2013-06-16,81,False
2013-06-23,81,False
2013-06-30,84,False
2013-07-07,80,False
2013-07-14,79,False
2013-07-21,80,False
2013-07-28,85,False
2013-08-04,89,False
2013-08-11,86,False
2013-08-18,87,False
2013-08-25,79,False
2013-09-01,82,False
2013-09-08,78,False
2013-09-15,77,False
2013-09-22,77,False
2013-09-29,75,False
2013-10-06,76,False
2013-10-13,74,False
2013-10-20,79,False
2013-10-27,76,False
2013-11-03,76,False
2013-11-10,80,False
2013-11-17,80,False
2013-11-24,77,False
2013-12-01,77,False
2013-12-08,78,False
2013-12-15,77,False
2013-12-22,81,False
2013-12-29,100,False
