geoName,drinking
Alabama,72
Alaska,83
Arizona,71
Arkansas,77
California,70
Colorado,73
Connecticut,77
Delaware,84
District of Columbia,84
Florida,72
Georgia,75
Hawaii,74
Idaho,68
Illinois,75
Indiana,77
Iowa,85
Kansas,63
Kentucky,80
Louisiana,70
Maine,84
Maryland,74
Massachusetts,78
Michigan,81
Minnesota,81
Mississippi,78
Missouri,75
Montana,86
Nebraska,86
Nevada,74
New Hampshire,82
New Jersey,71
New Mexico,75
New York,75
North Carolina,74
North Dakota,100
Ohio,80
Oklahoma,79
Oregon,52
Pennsylvania,83
Rhode Island,89
South Carolina,78
South Dakota,88
Tennessee,74
Texas,72
Utah,64
Vermont,89
Virginia,55
Washington,75
West Virginia,92
Wisconsin,85
Wyoming,82
