geoName,drinking
Alabama,78
Alaska,90
Arizona,77
Arkansas,79
California,78
Colorado,82
Connecticut,85
Delaware,93
District of Columbia,90
Florida,78
Georgia,78
Hawaii,75
Idaho,80
Illinois,92
Indiana,88
Iowa,89
Kansas,85
Kentucky,89
Louisiana,84
Maine,96
Maryland,81
Massachusetts,93
Michigan,92
Minnesota,94
Mississippi,77
Missouri,91
Montana,92
Nebraska,88
Nevada,80
New Hampshire,100
New Jersey,84
New Mexico,84
New York,85
North Carolina,81
North Dakota,90
Ohio,86
Oklahoma,87
Oregon,54
Pennsylvania,93
Rhode Island,99
South Carolina,84
South Dakota,86
Tennessee,83
Texas,77
Utah,67
Vermont,97
Virginia,84
Washington,85
West Virginia,90
Wisconsin,99
Wyoming,83
