date,drinking,isPartial
2014-01-05,56,False
2014-01-12,60,False
2014-01-19,57,False
2014-01-26,58,False
2014-02-02,57,False
2014-02-09,53,False
2014-02-16,56,False
2014-02-23,55,False
2014-03-02,54,False
2014-03-09,55,False
2014-03-16,54,False
2014-03-23,56,False
2014-03-30,54,False
2014-04-06,52,False
2014-04-13,54,False
2014-04-20,53,False
2014-04-27,55,False
2014-05-04,54,False
2014-05-11,52,False
2014-05-18,55,False
2014-05-25,53,False
2014-06-01,53,False
2014-06-08,51,False
2014-06-15,100,False
2014-06-22,84,False
2014-06-29,79,False
2014-07-06,73,False
2014-07-13,65,False
2014-07-20,61,False
2014-07-27,61,False
2014-08-03,83,False
2014-08-10,59,False
2014-08-17,55,False
2014-08-24,52,False
2014-08-31,52,False
2014-09-07,49,False
2014-09-14,51,False
2014-09-21,53,False
2014-09-28,50,False
2014-10-05,49,False
2014-10-12,51,False
2014-10-19,53,False
2014-10-26,54,False
2014-11-02,52,False
2014-11-09,52,False
2014-11-16,51,False
2014-11-23,50,False
2014-11-30,52,False
2014-12-07,55,False
2014-12-14,52,False
2014-12-21,52,False
2014-12-28,65,False
