date,drinking,isPartial
2012-01-01,86,False
2012-01-08,76,False
2012-01-15,74,False
2012-01-22,73,False
2012-01-29,78,False
2012-02-05,76,False
2012-02-12,72,False
2012-02-19,81,False
2012-02-26,81,False
2012-03-04,80,False
2012-03-11,87,False
2012-03-18,83,False
2012-03-25,77,False
2012-04-01,79,False
2012-04-08,82,False
2012-04-15,82,False
2012-04-22,87,False
2012-04-29,85,False
2012-05-06,83,False
2012-05-13,77,False
2012-05-20,79,False
2012-05-27,83,False
2012-06-03,79,False
2012-06-10,77,False
2012-06-17,82,False
2012-06-24,79,False
2012-07-01,83,False
2012-07-08,78,False
2012-07-15,80,False
2012-07-22,85,False
2012-07-29,83,False
2012-08-05,78,False
2012-08-12,81,False
2012-08-19,79,False
2012-08-26,76,False
2012-09-02,80,False
2012-09-09,75,False
2012-09-16,75,False
2012-09-23,77,False
2012-09-30,93,False
2012-10-07,80,False
2012-10-14,80,False
2012-10-21,84,False
2012-10-28,78,False
2012-11-04,77,False
2012-11-11,78,False
2012-11-18,75,False
2012-11-25,77,False
2012-12-02,83,False
2012-12-09,77,False
2012-12-16,71,False
2012-12-23,80,False
2012-12-30,100,False
