date,drinking,isPartial
2011-01-02,92,False
2011-01-09,85,False
2011-01-16,89,False
2011-01-23,93,False
2011-01-30,90,False
2011-02-06,90,False
2011-02-13,93,False
2011-02-20,93,False
2011-02-27,91,False
2011-03-06,93,False
2011-03-13,100,False
2011-03-20,91,False
2011-03-27,88,False
2011-04-03,92,False
2011-04-10,95,False
2011-04-17,92,False
2011-04-24,93,False
2011-05-01,93,False
2011-05-08,90,False
2011-05-15,91,False
2011-05-22,91,False
2011-05-29,93,False
2011-06-05,88,False
2011-06-12,91,False
2011-06-19,89,False
2011-06-26,89,False
2011-07-03,100,False
2011-07-10,94,False
2011-07-17,94,False
2011-07-24,89,False
2011-07-31,97,False
2011-08-07,93,False
2011-08-14,91,False
2011-08-21,87,False
2011-08-28,90,False
2011-09-04,92,False
2011-09-11,89,False
2011-09-18,87,False
2011-09-25,94,False
2011-10-02,94,False
2011-10-09,92,False
2011-10-16,93,False
2011-10-23,94,False
2011-10-30,97,False
2011-11-06,94,False
2011-11-13,96,False
2011-11-20,94,False
2011-11-27,97,False
2011-12-04,96,False
2011-12-11,94,False
2011-12-18,89,False
2011-12-25,98,False
