geoName,drinking
Alabama,81
Alaska,92
Arizona,81
Arkansas,77
California,81
Colorado,84
Connecticut,81
Delaware,88
District of Columbia,90
Florida,82
Georgia,84
Hawaii,88
Idaho,78
Illinois,87
Indiana,89
Iowa,88
Kansas,83
Kentucky,85
Louisiana,91
Maine,90
Maryland,82
Massachusetts,89
Michigan,94
Minnesota,89
Mississippi,87
Missouri,89
Montana,87
Nebraska,93
Nevada,85
New Hampshire,86
New Jersey,84
New Mexico,78
New York,84
North Carolina,85
North Dakota,91
Ohio,88
Oklahoma,91
Oregon,51
Pennsylvania,94
Rhode Island,89
South Carolina,89
South Dakota,89
Tennessee,86
Texas,79
Utah,63
Vermont,100
Virginia,69
Washington,83
West Virginia,90
Wisconsin,94
Wyoming,81
