date,drinking,isPartial
2015-01-04,77,False
2015-01-11,81,False
2015-01-18,80,False
2015-01-25,78,False
2015-02-01,76,False
2015-02-08,76,False
2015-02-15,85,False
2015-02-22,81,False
2015-03-01,97,False
2015-03-08,89,False
2015-03-15,87,False
2015-03-22,80,False
2015-03-29,76,False
2015-04-05,78,False
2015-04-12,80,False
2015-04-19,81,False
2015-04-26,77,False
2015-05-03,79,False
2015-05-10,75,False
2015-05-17,79,False
2015-05-24,82,False
2015-05-31,82,False
2015-06-07,80,False
2015-06-14,78,False
2015-06-21,83,False
2015-06-28,83,False
2015-07-05,82,False
2015-07-12,84,False
2015-07-19,81,False
2015-07-26,83,False
2015-08-02,90,False
2015-08-09,79,False
2015-08-16,79,False
2015-08-23,79,False
2015-08-30,74,False
2015-09-06,76,False
2015-09-13,76,False
2015-09-20,74,False
2015-09-27,75,False
2015-10-04,75,False
2015-10-11,77,False
2015-10-18,75,False
2015-10-25,78,False
2015-11-01,78,False
2015-11-08,75,False
2015-11-15,74,False
2015-11-22,77,False
2015-11-29,77,False
2015-12-06,100,False
2015-12-13,78,False
2015-12-20,81,False
2015-12-27,100,False
