geoName,insomnia
Alabama,52
Alaska,38
Arizona,58
Arkansas,56
California,59
Colorado,58
Connecticut,95
Delaware,59
District of Columbia,52
Florida,53
Georgia,57
Hawaii,70
Idaho,59
Illinois,65
Indiana,100
Iowa,47
Kansas,59
Kentucky,51
Louisiana,52
Maine,52
Maryland,58
Massachusetts,76
Michigan,90
Minnesota,62
Mississippi,59
Missouri,50
Montana,61
Nebraska,55
Nevada,59
New Hampshire,46
New Jersey,59
New Mexico,60
New York,79
North Carolina,57
North Dakota,52
Ohio,89
Oklahoma,46
Oregon,40
Pennsylvania,88
Rhode Island,60
South Carolina,74
South Dakota,51
Tennessee,59
Texas,55
Utah,50
Vermont,69
Virginia,54
Washington,55
West Virginia,53
Wisconsin,49
Wyoming,72
