date,insomnia,isPartial
2015-01-04,92,False
2015-01-11,80,False
2015-01-18,88,False
2015-01-25,83,False
2015-02-01,77,False
2015-02-08,76,False
2015-02-15,77,False
2015-02-22,78,False
2015-03-01,82,False
2015-03-08,92,False
2015-03-15,84,False
2015-03-22,89,False
2015-03-29,79,False
2015-04-05,75,False
2015-04-12,79,False
2015-04-19,81,False
2015-04-26,79,False
2015-05-03,74,False
2015-05-10,71,False
2015-05-17,65,False
2015-05-24,72,False
2015-05-31,80,False
2015-06-07,76,False
2015-06-14,77,False
2015-06-21,78,False
2015-06-28,80,False
2015-07-05,79,False
2015-07-12,78,False
2015-07-19,88,False
2015-07-26,87,False
2015-08-02,83,False
2015-08-09,93,False
2015-08-16,90,False
2015-08-23,94,False
2015-08-30,93,False
2015-09-06,100,False
2015-09-13,92,False
2015-09-20,91,False
2015-09-27,91,False
2015-10-04,90,False
2015-10-11,87,False
2015-10-18,89,False
2015-10-25,89,False
2015-11-01,82,False
2015-11-08,82,False
2015-11-15,85,False
2015-11-22,68,False
2015-11-29,85,False
2015-12-06,86,False
2015-12-13,82,False
2015-12-20,68,False
2015-12-27,81,False
