geoName,insomnia
Alabama,62
Alaska,62
Arizona,62
Arkansas,62
California,67
Colorado,57
Connecticut,100
Delaware,67
District of Columbia,60
Florida,59
Georgia,65
Hawaii,80
Idaho,63
Illinois,65
Indiana,99
Iowa,60
Kansas,59
Kentucky,59
Louisiana,60
Maine,57
Maryland,64
Massachusetts,71
Michigan,87
Minnesota,59
Mississippi,71
Missouri,63
Montana,70
Nebraska,59
Nevada,70
New Hampshire,68
New Jersey,73
New Mexico,75
New York,88
North Carolina,63
North Dakota,71
Ohio,86
Oklahoma,62
Oregon,80
Pennsylvania,88
Rhode Island,72
South Carolina,82
South Dakota,51
Tennessee,66
Texas,68
Utah,63
Vermont,50
Virginia,57
Washington,69
West Virginia,54
Wisconsin,53
Wyoming,69
