geoName,insomnia
Alabama,55
Alaska,57
Arizona,53
Arkansas,44
California,53
Colorado,46
Connecticut,90
Delaware,100
District of Columbia,50
Florida,48
Georgia,50
Hawaii,52
Idaho,55
Illinois,60
Indiana,82
Iowa,56
Kansas,48
Kentucky,66
Louisiana,43
Maine,58
Maryland,53
Massachusetts,61
Michigan,78
Minnesota,61
Mississippi,50
Missouri,51
Montana,44
Nebraska,48
Nevada,54
New Hampshire,49
New Jersey,55
New Mexico,63
New York,72
North Carolina,60
North Dakota,44
Ohio,79
Oklahoma,57
Oregon,39
Pennsylvania,84
Rhode Island,59
South Carolina,60
South Dakota,34
Tennessee,65
Texas,48
Utah,49
Vermont,43
Virginia,44
Washington,51
West Virginia,55
Wisconsin,48
Wyoming,52
