date,insomnia,isPartial
2012-01-01,92,False
2012-01-08,100,False
2012-01-15,90,False
2012-01-22,91,False
2012-01-29,93,False
2012-02-05,84,False
2012-02-12,83,False
2012-02-19,78,False
2012-02-26,89,False
2012-03-04,89,False
2012-03-11,91,False
2012-03-18,89,False
2012-03-25,87,False
2012-04-01,83,False
2012-04-08,82,False
2012-04-15,94,False
2012-04-22,87,False
2012-04-29,82,False
2012-05-06,78,False
2012-05-13,70,False
2012-05-20,74,False
2012-05-27,74,False
2012-06-03,74,False
2012-06-10,86,False
2012-06-17,87,False
2012-06-24,83,False
2012-07-01,80,False
2012-07-08,91,False
2012-07-15,91,False
2012-07-22,94,False
2012-07-29,91,False
2012-08-05,89,False
2012-08-12,91,False
2012-08-19,92,False
2012-08-26,94,False
2012-09-02,100,False
2012-09-09,94,False
2012-09-16,90,False
2012-09-23,97,False
2012-09-30,91,False
2012-10-07,90,False
2012-10-14,93,False
2012-10-21,86,False
2012-10-28,84,False
2012-11-04,77,False
2012-11-11,86,False
2012-11-18,70,False
2012-11-25,94,False
2012-12-02,98,False
2012-12-09,92,False
2012-12-16,78,False
2012-12-23,74,False
2012-12-30,86,False
