date,insomnia,isPartial
2011-01-02,100,False
2011-01-09,86,False
2011-01-16,95,False
2011-01-23,98,False
2011-01-30,89,False
2011-02-06,89,False
2011-02-13,85,False
2011-02-20,83,False
2011-02-27,91,False
2011-03-06,87,False
2011-03-13,84,False
2011-03-20,89,False
2011-03-27,88,False
2011-04-03,82,False
2011-04-10,86,False
2011-04-17,91,False
2011-04-24,87,False
2011-05-01,81,False
2011-05-08,77,False
2011-05-15,66,False
2011-05-22,80,False
2011-05-29,78,False
2011-06-05,80,False
2011-06-12,84,False
2011-06-19,89,False
2011-06-26,96,False
2011-07-03,81,False
2011-07-10,89,False
2011-07-17,89,False
2011-07-24,91,False
2011-07-31,83,False
2011-08-07,97,False
2011-08-14,92,False
2011-08-21,90,False
2011-08-28,87,False
2011-09-04,85,False
2011-09-11,81,False
2011-09-18,79,False
2011-09-25,82,False
2011-10-02,85,False
2011-10-09,90,False
2011-10-16,83,False
2011-10-23,85,False
2011-10-30,87,False
2011-11-06,85,False
2011-11-13,83,False
2011-11-20,65,False
2011-11-27,90,False
2011-12-04,85,False
2011-12-11,79,False
2011-12-18,76,False
2011-12-25,84,False
