geoName,insomnia
Alabama,71
Alaska,79
Arizona,63
Arkansas,73
California,74
Colorado,76
Connecticut,69
Delaware,59
District of Columbia,64
Florida,70
Georgia,73
Hawaii,82
Idaho,80
Illinois,72
Indiana,92
Iowa,69
Kansas,69
Kentucky,81
Louisiana,82
Maine,73
Maryland,79
Massachusetts,75
Michigan,100
Minnesota,67
Mississippi,77
Missouri,69
Montana,57
Nebraska,66
Nevada,72
New Hampshire,77
New Jersey,69
New Mexico,72
New York,91
North Carolina,68
North Dakota,75
Ohio,79
Oklahoma,74
Oregon,82
Pennsylvania,86
Rhode Island,82
South Carolina,87
South Dakota,68
Tennessee,66
Texas,83
Utah,75
Vermont,64
Virginia,74
Washington,78
West Virginia,86
Wisconsin,61
Wyoming,50
