date,insomnia,isPartial
2016-01-03,86,False
2016-01-10,79,False
2016-01-17,85,False
2016-01-24,87,False
2016-01-31,90,False
2016-02-07,92,False
2016-02-14,82,False
2016-02-21,85,False
2016-02-28,81,False
2016-03-06,80,False
2016-03-13,88,False
2016-03-20,82,False
2016-03-27,84,False
2016-04-03,90,False
2016-04-10,85,False
2016-04-17,89,False
2016-04-24,81,False
2016-05-01,89,False
2016-05-08,76,False
2016-05-15,77,False
2016-05-22,72,False
2016-05-29,69,False
2016-06-05,73,False
2016-06-12,76,False
2016-06-19,84,False
2016-06-26,79,False
2016-07-03,81,False
2016-07-10,84,False
2016-07-17,89,False
2016-07-24,84,False
2016-07-31,87,False
2016-08-07,81,False
2016-08-14,76,False
2016-08-21,87,False
2016-08-28,95,False
2016-09-04,100,False
2016-09-11,98,False
2016-09-18,92,False
2016-09-25,92,False
2016-10-02,87,False
2016-10-09,92,False
2016-10-16,90,False
2016-10-23,99,False
2016-10-30,91,False
2016-11-06,76,False
2016-11-13,91,False
2016-11-20,74,False
2016-11-27,87,False
2016-12-04,98,False
2016-12-11,91,False
2016-12-18,78,False
2016-12-25,69,False
