date,fatalistic,isPartial
2011-01-02,19,False
2011-01-09,14,False
2011-01-16,13,False
2011-01-23,36,False
2011-01-30,34,False
2011-02-06,13,False
2011-02-13,45,False
2011-02-20,22,False
2011-02-27,39,False
2011-03-06,17,False
2011-03-13,32,False
2011-03-20,100,False
2011-03-27,13,False
2011-04-03,39,False
2011-04-10,22,False
2011-04-17,67,False
2011-04-24,66,False
2011-05-01,44,False
2011-05-08,35,False
2011-05-15,22,False
2011-05-22,27,False
2011-05-29,32,False
2011-06-05,18,False
2011-06-12,22,False
2011-06-19,18,False
2011-06-26,9,False
2011-07-03,9,False
2011-07-10,31,False
2011-07-17,26,False
2011-07-24,30,False
2011-07-31,34,False
2011-08-07,13,False
2011-08-14,17,False
2011-08-21,25,False
2011-08-28,33,False
2011-09-04,58,False
2011-09-11,36,False
2011-09-18,48,False
2011-09-25,67,False
2011-10-02,28,False
2011-10-09,43,False
2011-10-16,23,False
2011-10-23,54,False
2011-10-30,47,False
2011-11-06,50,False
2011-11-13,30,False
2011-11-20,40,False
2011-11-27,33,False
2011-12-04,47,False
2011-12-11,29,False
2011-12-18,35,False
2011-12-25,20,False
