date,fatalistic,isPartial
2016-01-03,45,False
2016-01-10,54,False
2016-01-17,66,False
2016-01-24,59,False
2016-01-31,69,False
2016-02-07,73,False
2016-02-14,68,False
2016-02-21,68,False
2016-02-28,81,False
2016-03-06,100,False
2016-03-13,43,False
2016-03-20,75,False
2016-03-27,40,False
2016-04-03,62,False
2016-04-10,51,False
2016-04-17,87,False
2016-04-24,58,False
2016-05-01,57,False
2016-05-08,33,False
2016-05-15,41,False
2016-05-22,30,False
2016-05-29,35,False
2016-06-05,19,False
2016-06-12,30,False
2016-06-19,15,False
2016-06-26,38,False
2016-07-03,40,False
2016-07-10,35,False
2016-07-17,27,False
2016-07-24,42,False
2016-07-31,27,False
2016-08-07,49,False
2016-08-14,45,False
2016-08-21,47,False
2016-08-28,41,False
2016-09-04,53,False
2016-09-11,88,False
2016-09-18,72,False
2016-09-25,55,False
2016-10-02,36,False
2016-10-09,59,False
2016-10-16,66,False
2016-10-23,65,False
2016-10-30,50,False
2016-11-06,78,False
2016-11-13,53,False
2016-11-20,52,False
2016-11-27,66,False
2016-12-04,66,False
2016-12-11,61,False
2016-12-18,30,False
2016-12-25,15,False
