date,fatalistic,isPartial
2014-01-05,30,False
2014-01-12,49,False
2014-01-19,41,False
2014-01-26,48,False
2014-02-02,63,False
2014-02-09,52,False
2014-02-16,45,False
2014-02-23,51,False
2014-03-02,47,False
2014-03-09,41,False
2014-03-16,56,False
2014-03-23,67,False
2014-03-30,41,False
2014-04-06,53,False
2014-04-13,50,False
2014-04-20,61,False
2014-04-27,38,False
2014-05-04,54,False
2014-05-11,39,False
2014-05-18,34,False
2014-05-25,59,False
2014-06-01,31,False
2014-06-08,27,False
2014-06-15,32,False
2014-06-22,32,False
2014-06-29,19,False
2014-07-06,27,False
2014-07-13,13,False
2014-07-20,22,False
2014-07-27,31,False
2014-08-03,24,False
2014-08-10,35,False
2014-08-17,57,False
2014-08-24,47,False
2014-08-31,65,False
2014-09-07,41,False
2014-09-14,50,False
2014-09-21,63,False
2014-09-28,42,False
2014-10-05,62,False
2014-10-12,74,False
2014-10-19,75,False
2014-10-26,100,False
2014-11-02,20,False
2014-11-09,53,False
2014-11-16,53,False
2014-11-23,48,False
2014-11-30,55,False
2014-12-07,53,False
2014-12-14,43,False
2014-12-21,20,False
2014-12-28,27,False
