date,fatalistic,isPartial
2013-01-06,34,False
2013-01-13,62,False
2013-01-20,39,False
2013-01-27,71,False
2013-02-03,38,False
2013-02-10,66,False
2013-02-17,66,False
2013-02-24,56,False
2013-03-03,19,False
2013-03-10,85,False
2013-03-17,76,False
2013-03-24,49,False
2013-03-31,43,False
2013-04-07,48,False
2013-04-14,47,False
2013-04-21,53,False
2013-04-28,48,False
2013-05-05,33,False
2013-05-12,35,False
2013-05-19,68,False
2013-05-26,46,False
2013-06-02,29,False
2013-06-09,40,False
2013-06-16,30,False
2013-06-23,35,False
2013-06-30,62,False
2013-07-07,64,False
2013-07-14,39,False
2013-07-21,53,False
2013-07-28,24,False
2013-08-04,39,False
2013-08-11,44,False
2013-08-18,39,False
2013-08-25,52,False
2013-09-01,67,False
2013-09-08,55,False
2013-09-15,60,False
2013-09-22,90,False
2013-09-29,37,False
2013-10-06,57,False
2013-10-13,61,False
2013-10-20,75,False
2013-10-27,65,False
2013-11-03,42,False
2013-11-10,69,False
2013-11-17,41,False
2013-11-24,29,False
2013-12-01,100,False
2013-12-08,77,False
2013-12-15,85,False
2013-12-22,16,False
2013-12-29,29,False
